Date,First-pass,Second-pass,Third-pass
19400101,126.5,126.5,126.5
19400102,140.225,127.0146875,127.0146875
19400103,151.34562499999998,128.422484375,128.422484375
19400104,158.14470312499998,130.3966853515625,130.3966853515625
19400105,176.471350390625,133.16503595703125,133.16503595703125
19400106,203.1359991113281,137.41293386657713,137.41293386657713
19400107,227.8007991779785,143.26709376243286,143.26709376243286
19400108,250.6157392396301,150.4626819209107,150.4626819209107
19400109,277.7570587966578,158.99196070320318,158.99196070320318
19400110,297.57527938690845,168.64252633234668,168.64252633234668
19400111,304.5821334328903,178.5752398381631,178.5752398381631
19400112,322.3884734254235,188.69349460748765,188.69349460748765
19400113,344.1468379185168,199.53655668732384,199.53655668732384
19400114,364.273325074628,211.13707104801748,211.13707104801748
19400115,420.3153256940309,224.72386512324087,224.72386512324087
19400116,482.3916762669786,241.0383022093019,241.0383022093019
19400117,518.6623005469552,257.6637319105263,257.6637319105263
19400118,459.0,272.847852127381,272.847852127381
19400119,514.9124999999999,288.9059819678274,288.9059819678274
19400120,641.6690624999999,310.6098419139903,310.6098419139903
19400121,729.6688828124998,336.9686297470539,336.9686297470539
19400122,766.8187166015623,362.6798110231439,362.6798110231439
19400123,780.0,385.96982952097244,385.96982952097244
19400124,783.4125,406.87856979470314,406.87856979470314
19400125,797.0690625,425.4820029654119,425.4820029654119
19400126,816.7888828125,441.81656730781685,441.81656730781685
19400127,827.9422166015624,455.8839179712594,455.8839179712594
19400128,834.7340503564453,467.6953826126778,467.6953826126778
19400129,841.0164965797119,477.2756297623747,477.2756297623747
19400130,693.0,484.8785153039302,484.8785153039302
19400131,693.0,490.99077214307425,490.99077214307425
19400201,610.0,496.0007769209261,496.0007769209261
19400202,616.375,500.18166902464856,500.18166902464856
19400203,628.646875,503.64701521787896,503.64701521787896
19400204,639.998359375,506.35362637115475,506.35362637115475
19400205,532.0,508.4289770861892,508.4289770861892
19400206,539.9875,510.496335054725,510.496335054725
19400207,590.0509374999999,514.5855513318706,514.5855513318706
19400208,656.7971171874999,522.7484370327616,522.7484370327616
19400209,735.7873333984373,535.7642211522771,535.7642211522771
19400210,896.9782833935542,556.810615195556,556.810615195556
19400211,1125.5799121390373,590.8957513883614,590.8957513883614
19400212,1364.0364187286095,639.9391824417711,639.9391824417711
19400213,1678.7336873239637,706.0476227356096,706.0476227356096
19400214,2156.953660774666,796.9323265841374,796.9323265841374
19400215,2709.9321362165656,919.6706194774981,919.6706194774981
19400216,3159.562226000323,1070.8013615998188,1070.8013615998188
19400217,3404.470059050299,1236.6424701692304,1236.6424701692304
19400218,3513.259804621526,1403.3091547942313,1403.3091547942313
19400219,3661.890319274912,1567.1290978307802,1567.1290978307802
19400220,3964.373545329294,1735.5793104161294,1735.5793104161294
19400221,4411.795529429596,1918.143216528655,1918.143216528655
19400222,4913.410864722377,2101.545173032473,2101.545173032473
19400223,5392.405049868198,2267.882336538062,2267.882336538062
19400224,5768.724671128083,2415.3751171711997,2415.3751171711997
19400225,5966.820320793477,2542.7468558789833,2542.7468558789833
19400226,5390.0,2650.4746079308898,2650.4746079308898
19400227,4210.0,2742.4600800838725,2742.4600800838725
19400228,3840.0,2824.2899040752027,2824.2899040752027
19400229,3840.0,2899.380612618342,2899.380612618342
19400301,3856.875,2968.725683839566,2968.725683839566
19400302,3925.359375,3032.5913868586317,3032.5913868586317
19400303,4108.332421875,3090.8540416310816,3090.8540416310816
19400304,4430.957490234375,3142.7170190585757,3142.7170190585757
19400305,4850.135678466796,3186.599314891275,3186.599314891275
19400306,5300.125502581786,3220.3186692017334,3220.3186692017334
19400307,5720.116089888152,3241.436156473273,3241.436156473273
19400308,6063.23238314654,3223.5315154489954,3223.5315154489954
19400309,6301.489954410549,2983.6264084222753,2983.6264084222753
19400310,6414.628207829758,2710.0237592846097,2710.0237592846097
19400311,5100.0,2462.946163774048,2462.946163774048
19400312,4000.0,2293.72558245843,2293.72558245843
19400313,3310.0,2183.3519810361404,2183.3519810361404
19400314,2940.0,2107.0021416606924,2107.0021416606924
19400315,2947.5,2039.1577207142623,2039.1577207142623
19400316,2973.1875,1964.4669615829862,1964.4669615829862
19400317,3008.1984375,1881.2594474883635,1881.2594474883635
19400318,3025.5835546875,1789.1812138176567,1789.1812138176567
19400319,2840.0,1696.456032991217,1696.456032991217
19400320,2650.0,1611.4389545850993,1611.4389545850993
19400321,2460.0,1534.934004956864,1534.934004956864
19400322,2250.0,1468.4421675209342,1468.4421675209342
19400323,2060.0,1412.7753162388478,1412.7753162388478
19400324,1880.0,1367.5949364744301,1367.5949364744301
19400325,1800.0,1329.2918232156003,1329.2918232156003
19400326,1620.0,1298.4235926655138,1298.4235926655138
19400327,1500.0,1277.2146947735282,1277.2146947735282
19400328,1430.0,1261.9888592146253,1261.9888592146253
